               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.036011,            0.033546,           0.0043033,             0.59579,             0.58186,             0.58606,             0.26424,             0.03949,            0.015464,           0.0084825,           0.0089065,           0.0089065,           0.0089065
                  36,            0.036473,            0.035275,           0.0039004,             0.50922,             0.61956,              0.5767,             0.23661,             0.03945,            0.015727,           0.0088234,           0.0088442,           0.0088442,           0.0088442
                  37,            0.035253,            0.034926,           0.0036798,              0.6049,              0.5902,             0.58325,             0.25984,            0.038419,            0.015702,           0.0092128,           0.0087804,           0.0087804,           0.0087804
                  38,            0.034979,            0.030087,           0.0032582,             0.54747,             0.61452,             0.57955,              0.2527,            0.039525,            0.015662,           0.0081339,           0.0087151,           0.0087151,           0.0087151
                  39,            0.035605,            0.034071,           0.0024929,             0.59668,             0.60391,             0.58826,             0.25847,            0.038178,             0.01589,           0.0083631,           0.0086485,           0.0086485,           0.0086485
                  40,            0.035311,            0.034049,           0.0032931,             0.55577,             0.61264,             0.57519,             0.23838,             0.03936,             0.01563,           0.0088256,           0.0085805,           0.0085805,           0.0085805
                  41,            0.035188,            0.037497,           0.0033497,             0.53659,             0.58783,             0.56468,              0.2446,            0.039218,            0.015743,           0.0088588,           0.0085111,           0.0085111,           0.0085111
                  42,            0.034933,            0.036071,           0.0032702,             0.53768,             0.59849,             0.56936,             0.24257,            0.038427,            0.015742,           0.0087184,           0.0084404,           0.0084404,           0.0084404
                  43,            0.034866,            0.033279,           0.0032838,             0.58406,             0.56538,             0.57245,             0.25509,            0.039679,            0.016144,           0.0088177,           0.0083684,           0.0083684,           0.0083684
                  44,            0.034823,            0.034079,           0.0035031,             0.54453,             0.60634,             0.56358,             0.23971,            0.040757,            0.015684,            0.010388,           0.0082952,           0.0082952,           0.0082952
