               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.034629,            0.033687,            0.004214,              0.6275,             0.71275,             0.72283,             0.38248,            0.032748,            0.013584,           0.0032083,           0.0093733,           0.0093733,           0.0093733
                  36,            0.034718,            0.036041,           0.0043007,             0.62235,             0.74083,              0.7504,             0.38035,            0.033032,            0.012903,           0.0010627,           0.0093369,           0.0093369,           0.0093369
                  37,            0.035477,            0.036188,           0.0036163,             0.80318,             0.65758,             0.75096,             0.38971,            0.032444,            0.012798,              0.0031,           0.0092995,           0.0092995,           0.0092995
                  38,            0.035013,            0.035405,           0.0029128,             0.70059,             0.72424,             0.77136,             0.40726,            0.032634,            0.012996,           0.0042229,           0.0092611,           0.0092611,           0.0092611
                  39,            0.034739,            0.033348,           0.0034385,             0.67321,             0.71636,             0.75501,             0.40264,            0.033418,            0.012816,           0.0027091,           0.0092219,           0.0092219,           0.0092219
                  40,            0.035517,             0.03786,           0.0036367,             0.67067,             0.70834,              0.7452,             0.38758,            0.035005,            0.012891,           0.0030646,           0.0091817,           0.0091817,           0.0091817
                  41,            0.035108,            0.034051,           0.0032556,             0.76028,             0.65099,               0.743,             0.37689,            0.034709,            0.012859,           0.0030303,           0.0091406,           0.0091406,           0.0091406
                  42,            0.034487,            0.037608,            0.003124,              0.7334,             0.70606,             0.76465,             0.40156,            0.032702,            0.012779,           0.0027731,           0.0090986,           0.0090986,           0.0090986
                  43,            0.034508,            0.036814,           0.0027796,             0.59586,             0.76924,              0.7545,             0.38788,            0.032653,             0.01289,           0.0015404,           0.0090557,           0.0090557,           0.0090557
                  44,            0.033757,             0.03477,           0.0028721,             0.58391,              0.7514,             0.75632,             0.41113,            0.031294,            0.012988,           0.0017011,           0.0090119,           0.0090119,           0.0090119
                  45,            0.033908,            0.035463,            0.002684,             0.66467,             0.75309,             0.77906,             0.39486,            0.032619,            0.012949,           0.0018134,           0.0089673,           0.0089673,           0.0089673
                  46,             0.03326,            0.035655,            0.002831,             0.74277,             0.68846,             0.75296,             0.41327,            0.031374,             0.01297,          0.00096402,           0.0089218,           0.0089218,           0.0089218
                  47,            0.033225,            0.037115,            0.003013,              0.7284,             0.71078,             0.73599,             0.38298,            0.032607,            0.013338,           0.0013652,           0.0088755,           0.0088755,           0.0088755
                  48,            0.033255,            0.034289,           0.0027069,             0.65512,             0.74661,             0.73579,             0.38648,            0.032379,            0.013057,          0.00080384,           0.0088283,           0.0088283,           0.0088283
                  49,             0.03343,            0.036765,           0.0025768,             0.66954,               0.737,             0.75586,             0.40989,            0.032778,            0.012909,           0.0020746,           0.0087804,           0.0087804,           0.0087804
                  50,            0.033548,            0.035583,           0.0021945,             0.61404,             0.79707,             0.77638,             0.40526,            0.032177,            0.012755,           0.0016307,           0.0087316,           0.0087316,           0.0087316
                  51,            0.033402,            0.036678,           0.0025804,             0.72942,             0.71792,             0.76188,              0.4108,            0.032101,            0.012642,          0.00098951,            0.008682,            0.008682,            0.008682
                  52,            0.033063,            0.036511,            0.002817,             0.64136,             0.76323,              0.7676,             0.42939,            0.030812,            0.013005,           0.0031123,           0.0086316,           0.0086316,           0.0086316
                  53,            0.033335,            0.034709,           0.0026035,             0.65059,             0.76854,             0.76265,             0.38295,             0.03177,            0.012757,           0.0023505,           0.0085805,           0.0085805,           0.0085805
                  54,            0.033069,            0.036444,           0.0025527,             0.74678,             0.71241,             0.78573,             0.42675,            0.031684,            0.012619,           0.0028874,           0.0085286,           0.0085286,           0.0085286
                  55,            0.033115,            0.037636,           0.0024125,             0.64253,             0.73954,             0.77054,             0.39403,            0.033376,            0.013039,            0.001966,           0.0084759,           0.0084759,           0.0084759
                  56,            0.033107,            0.036666,           0.0022719,             0.72513,             0.73622,              0.7929,             0.42887,            0.031559,            0.012437,             0.00371,           0.0084225,           0.0084225,           0.0084225
                  57,            0.032634,            0.034439,           0.0026935,             0.67465,             0.74825,             0.76347,             0.40988,             0.03276,             0.01279,           0.0022825,           0.0083684,           0.0083684,           0.0083684
                  58,            0.032857,            0.034733,           0.0023925,             0.66902,             0.77324,             0.75864,             0.40714,            0.032118,            0.012627,           0.0028583,           0.0083136,           0.0083136,           0.0083136
                  59,            0.033055,            0.037382,           0.0026466,             0.69148,             0.74665,             0.75444,             0.39163,            0.033124,            0.012714,           0.0011305,           0.0082581,           0.0082581,           0.0082581
